ご注文リスト（＆CLOSET様）,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
 この度は、ROLLIN THREEの商品ご購入いただき、誠にありがとうございます。,,,,,,,,,,,,,,,,,,,,,
以下の商品リストより、ご希望の商品について数量をご記入いただきますようお願いいたします。,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
＃,"ボディ
タイプ",品番,商品名,カラーパターン,,販売価格,卸価格,,数量,,,,,,,,,,,金額計,
39,Polo,R3GOLF024,Sunshine & Fairways Polo（ポケット付） ,ホワイト,サニー,8400,5040,,,,,,,,,,,,,0,11
40,Polo,R3GOLF025,TURFERS Flag,ホワイト,グリーンフラッグ,7800,4680,,,,,,,,,,,,,0,6
41,Polo,R3GOLF025,TURFERS Flag,ホワイト,ネイビーフラッグ,7800,4680,,,,,,,,,,,,,0,7
42,Polo,R3GOLF025,TURFERS Flag,ホワイト,レッドフラッグ,7800,4680,,,,,,,,,,,,,0,8
43,T-shirt,R3TOWN,Vintage PADDLE ,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,72
44,T-shirt,R3TOWN003,TURFERS POP_T ,バニラホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,76
45,T-shirt,R3TOWN004,Every piece is part of you ,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,74
46,T-shirt,R3TOWN005,PIG UP,バニラホワイト,1パターン,4800,2640,,,,,,,,,,,,,0,41
47,T-shirt,R3TOWNT001,TURFERS 3FACE ,ナチュラル,1パターン,5800,3190,,,,,,,,,,,,,0,73
48,T-shirt,R3TOWNT002,Canoe Anatomy ,ナチュラル,1パターン,5800,3190,,,,,,,,,,,,,0,75
49,T-shirt,R3TOWNT005,SURF CREW PAPER DOLL SET　,バニラホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,35
50,T-shirt,R3TOWNT005,SURF CREW PAPER DOLL SET　,グリーン,1パターン,5800,3190,,,,,,,,,,,,,0,36
51,T-shirt,R3TOWNT006,ROLLIN ZEN “FIND YOUR BALANCE” ,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,34
52,T-shirt,R3TOWNT007,GOOD IS GOOD.　,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,31
53,T-shirt,R3TOWNT007,GOOD IS GOOD.　,バニラホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,32
54,T-shirt,R3TOWNT007,GOOD IS GOOD.　,アプリコット,1パターン,5800,3190,,,,,,,,,,,,,0,33
55,T-shirt,R3TOWNT008,VWB 63SPRIT  ,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,27
56,T-shirt,R3TOWNT008,VWB 63SPRIT  ,オリーブ,1パターン,5800,3190,,,,,,,,,,,,,0,28
57,T-shirt,R3TOWNT008,VWB 63SPRIT  ,ライトイエロー,1パターン,5800,3190,,,,,,,,,,,,,0,29
58,T-shirt,R3TOWNT008,VWB 63SPRIT  ,アプリコット,1パターン,5800,3190,,,,,,,,,,,,,0,30
59,T-shirt,R3TOWNT010,SURF’S UP　,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,22
60,T-shirt,R3TOWNT010,SURF’S UP　,オリーブ,1パターン,5800,3190,,,,,,,,,,,,,0,23
61,T-shirt,R3TOWNT010,SURF’S UP　,バニラホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,24
62,T-shirt,R3TOWNT010,SURF’S UP　,ライトイエロー,1パターン,5800,3190,,,,,,,,,,,,,0,25
63,T-shirt,R3TOWNT011,PADDLE’S UP　,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,26
64,T-shirt,R3TOWNT012,SURF’S UP　,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,20
65,T-shirt,R3TOWNT012,SURF’S UP　,バニラホワイト,1パターン,5800,3190,,,,,,,,,,,,,0,21
66,T-shirt,R3TOWNT015 ,MAKE MEMORIES　,ホワイト,1パターン,8200,4510,,,,,,,,,,,,,0,1
67,T-shirt,R3TOWNT015 ,MAKE MEMORIES　,アイボリー,1パターン,8200,4510,,,,,,,,,,,,,0,2
68,T-shirt,R3TOWNT015 ,MAKE MEMORIES　,イエロー,1パターン,8200,4510,,,,,,,,,,,,,0,3
69,T-shirt,R3TOWNT015 ,MAKE MEMORIES　,グランベリー,1パターン,8200,4510,,,,,,,,,,,,,0,4
70,T-shirt,R3TOWNT015 ,MAKE MEMORIES　,ペッパー,1パターン,8200,4510,,,,,,,,,,,,,0,5
71,T-shirt,R3TOWNT024,DRIFT EASY  ,ホワイト,1パターン,6400,3520,,,,,,,,,,,,,0,9
72,MockNeck,R3GOLF019,GOLF&GROOVE ,ブラック,1パターン,12800,7680,,,,,,,,,,,,,0,70
73,MockNeck,R3GOLF020,Wave down. Club up ,ブラック,1パターン,12800,7680,,,,,,,,,,,,,0,67
74,T-shirt,R3TOWNT026,WHAT'S UP TOMORROW,ホワイト,1パターン,5800,3190,,,,,,,,,,,,,,
75,Polo,R3GOLF027,WHAT'S UP TOMORROW Polo,ホワイト,1パターン,7800,4680,,,,,,,,,,,,,0,
76,Polo,R3GOLF026, PEANUT PATTER,ホワイト,1パターン,8400,5040,,,,,,,,,,,,,,
77,Polo,R3GOLF026, PEANUT PATTER,グリーン,1パターン,8400,5040,,,,,,,,,,,,,,
78,Polo,R3GOLF026, PEANUT PATTER,ターコイズブルー,1パターン,8400,5040,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,合計金額,,,,,
